Width,Length,Rim Angle,Focal Length,Parabola Height,Arc Length,Surface Area,Concentration Ratio,Aspect Ratio,Arc Angle,Parabola Coefficient
1.15,1.73913,80,0.34263,0.24124,1.2734,2.21461,1.1073,1.51229,1.39626,0.72965
0.9,2.22222,80,0.26814,0.1888,0.99657,2.21461,1.1073,2.46914,1.39626,0.93233
0.55,3.63636,80,0.16387,0.11538,0.60902,2.21461,1.1073,6.61157,1.39626,1.52564
1.05,1.90476,80,0.31284,0.22026,1.16267,2.21461,1.1073,1.81406,1.39626,0.79914
1.1,1.81818,80,0.32773,0.23075,1.21803,2.21461,1.1073,1.65289,1.39626,0.76282
1.2,1.66667,80,0.35753,0.25173,1.32876,2.21461,1.1073,1.38889,1.39626,0.69925
1.25,1.6,80,0.37242,0.26222,1.38413,2.21461,1.1073,1.28,1.39626,0.67128
0.5,4,80,0.14897,0.10489,0.55365,2.21461,1.1073,8,1.39626,1.6782
1,2,80,0.29794,0.20977,1.1073,2.21461,1.1073,2,1.39626,0.8391
0.8,2.5,80,0.23835,0.16782,0.88584,2.21461,1.1073,3.125,1.39626,1.04887
0.95,2.10526,80,0.28304,0.19929,1.05194,2.21461,1.1073,2.21607,1.39626,0.88326
0.85,2.35294,80,0.25325,0.17831,0.94121,2.21461,1.1073,2.76817,1.39626,0.98718
0.65,3.07692,80,0.19366,0.13635,0.71975,2.21461,1.1073,4.73373,1.39626,1.29092
0.7,2.85714,80,0.20856,0.14684,0.77511,2.21461,1.1073,4.08163,1.39626,1.19871
0.75,2.66667,80,0.22345,0.15733,0.83048,2.21461,1.1073,3.55556,1.39626,1.1188
0.6,3.33333,80,0.17876,0.12586,0.66438,2.21461,1.1073,5.55556,1.39626,1.3985
1.45,1.37931,80,0.43201,0.30417,1.60559,2.21461,1.1073,0.95125,1.39626,0.57869
1.4,1.42857,80,0.41711,0.29368,1.55023,2.21461,1.1073,1.02041,1.39626,0.59936
1.3,1.53846,80,0.38732,0.27271,1.43949,2.21461,1.1073,1.18343,1.39626,0.64546
1.35,1.48148,80,0.40222,0.2832,1.49486,2.21461,1.1073,1.09739,1.39626,0.62156
1.5,1.33333,80,0.44691,0.31466,1.66096,2.21461,1.1073,0.88889,1.39626,0.5594
